Timestamp,Time_Seconds,LoadCell1_Raw,LoadCell1_Delta,LoadCell2_Raw,LoadCell2_Delta
2026-02-15 14:43:52.001,34.023,-586207,-5937,-588815,-13785
2026-02-15 14:43:52.194,34.217,-555749,24521,-571593,3437
2026-02-15 14:43:52.387,34.410,-572839,7431,-568236,6795
2026-02-15 14:43:52.581,34.603,-601438,-21168,-612046,-37015
2026-02-15 14:43:52.774,34.797,-568696,11574,-566081,8949
2026-02-15 14:43:52.967,34.990,-833211,-252941,-562981,12049
2026-02-15 14:43:53.160,35.183,-585249,-4979,-561531,13500
2026-02-15 14:43:53.354,35.376,-587170,-6900,-590848,-15818
2026-02-15 14:43:53.547,35.570,-574087,6183,-566108,8923
2026-02-15 14:43:53.740,35.763,-582798,-2528,-616487,-41456
2026-02-15 14:43:53.934,35.956,-582522,-2252,-593501,-18471
2026-02-15 14:43:54.127,36.149,-571351,8919,-603032,-28001
2026-02-15 14:43:54.320,36.343,-572787,7483,-587428,-12397
2026-02-15 14:43:54.514,36.536,-589058,-8788,-587960,-12929
2026-02-15 14:43:54.707,36.729,-578732,1538,-586601,-11571
2026-02-15 14:43:54.900,36.923,-573016,7254,-571081,3950
2026-02-15 14:43:55.093,37.116,-584927,-4657,-585993,-10962
2026-02-15 14:43:55.287,37.309,-565533,14737,-553293,21738
2026-02-15 14:43:55.480,37.503,-599359,-19089,-585280,-10250
2026-02-15 14:43:55.673,37.696,-598012,-17742,-574769,262
2026-02-15 14:43:55.866,37.889,-555844,24426,-549390,25641
2026-02-15 14:43:56.060,38.082,-571371,8899,-554255,20775
2026-02-15 14:43:56.253,38.276,-559426,20844,-589741,-14711
2026-02-15 14:43:56.446,38.469,-566552,13718,-575431,-400
2026-02-15 14:43:56.640,38.662,-574424,5846,-593936,-18905
2026-02-15 14:43:56.833,38.856,-589720,-9450,-562248,12783
2026-02-15 14:43:57.026,39.049,-571358,8912,-556267,18764
2026-02-15 14:43:57.220,39.242,-565068,15202,-564428,10602
2026-02-15 14:43:57.413,39.436,-573959,6311,-573144,1887
2026-02-15 14:43:57.606,39.629,-572207,8063,-589205,-14174
2026-02-15 14:43:57.800,39.822,-590202,-9932,-572438,2592
2026-02-15 14:43:57.993,40.015,-579603,667,-594771,-19741
2026-02-15 14:43:58.186,40.209,-566156,14114,-590556,-15525
2026-02-15 14:43:58.379,40.402,-595494,-15224,-585046,-10015
2026-02-15 14:43:58.573,40.595,-574117,6153,-585961,-10931
2026-02-15 14:43:58.766,40.789,-563289,16981,-550970,24061
2026-02-15 14:43:58.960,40.982,-568221,12049,-582636,-7605
2026-02-15 14:43:59.153,41.175,-575557,4713,-592526,-17495
2026-02-15 14:43:59.346,41.369,-577909,2361,-565645,9386
2026-02-15 14:43:59.540,41.562,-584424,-4154,-568539,6492
2026-02-15 14:43:59.733,41.755,-559845,20425,-561439,13592
2026-02-15 14:43:59.926,41.949,-596245,-15975,-571604,3426
2026-02-15 14:44:00.120,42.142,-567666,12604,1137177,1712207
2026-02-15 14:44:00.313,42.335,-6083625,-5503355,1561015,2136046
2026-02-15 14:44:00.506,42.529,-572196,8074,2538132,3113162
2026-02-15 14:44:00.700,42.722,-578020,2250,203902,778932
2026-02-15 14:44:00.893,42.916,-2248323,-1668053,-2217043,-1642013
2026-02-15 14:44:01.086,43.109,-2253167,-1672897,-6037935,-5462905
2026-02-15 14:44:01.280,43.302,-2257241,-1676971,-2266650,-1691619
2026-02-15 14:44:01.473,43.496,-2248193,-1667923,1549599,2124630
2026-02-15 14:44:01.666,43.689,-157199,423071,-2235375,-1660345
2026-02-15 14:44:01.860,43.882,-2258227,-1677957,-2229514,-1654483
2026-02-15 14:44:02.053,44.076,-2252233,-1671963,-6036411,-5461380
2026-02-15 14:44:02.246,44.269,-2266357,-1686087,1584835,2159866
2026-02-15 14:44:02.440,44.462,-2237671,-1657401,-2271275,-1696244
2026-02-15 14:44:02.633,44.656,-2249910,-1669640,1564546,2139577
2026-02-15 14:44:02.826,44.849,-2257115,-1676845,1586506,2161536
2026-02-15 14:44:03.020,45.042,-2252631,-1672361,-2249130,-1674099
2026-02-15 14:44:03.213,45.236,-2258500,-1678230,-6042504,-5467474
2026-02-15 14:44:03.407,45.429,-6049564,-5469294,1129772,1704803
2026-02-15 14:44:03.600,45.622,-2255756,-1675486,616306,1191336
2026-02-15 14:44:03.793,45.816,1987016,2567286,1550546,2125577
2026-02-15 14:44:03.987,46.009,-2242077,-1661807,-2240561,-1665530
2026-02-15 14:44:04.180,46.202,-2268052,-1687782,-2227244,-1652214
2026-02-15 14:44:04.373,46.396,-2246330,-1666060,-2237518,-1662487
2026-02-15 14:44:04.567,46.589,-2235259,-1654989,1578097,2153128
2026-02-15 14:44:04.760,46.782,-2237419,-1657149,1580765,2155796
2026-02-15 14:44:04.953,46.976,-2240330,-1660060,-2186700,-1611669
2026-02-15 14:44:05.146,47.169,-2256118,-1675848,5382531,5957562
2026-02-15 14:44:05.340,47.362,1548399,2128669,1570365,2145396
2026-02-15 14:44:05.533,47.556,-6056777,-5476507,1581474,2156505
2026-02-15 14:44:05.726,47.749,-566956,13314,-593033,-18003
2026-02-15 14:44:05.920,47.942,-585264,-4994,-573044,1987
2026-02-15 14:44:06.113,48.135,-562026,18244,-571180,3851
2026-02-15 14:44:06.306,48.329,-581069,-799,-566874,8157
2026-02-15 14:44:06.500,48.522,-578342,1928,-585580,-10550
2026-02-15 14:44:06.693,48.715,-564656,15614,-565219,9812
